CEEB,College Name,City,State
INTL,UNIVERSITY OF SURREY,GUILDFORD,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF WARWICK,COVENTRY,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF WEST LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF WESTMINSTER,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF YORK,YORK,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY ROEHAMPTON LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,WEBSTER UNIV-REGENTS COLLEGE,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,YORK ST JOHN UNIVERSITY,YORK,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,TEXILA AMERICAN UNIVERSITY,GEORGETOWN,GUYANA
INTL,CITY UNIVERSITY OF HONG KONG,KOWLOON,HONG KONG
INTL,CORVINUS UNIVERSITY BUDAPEST,BUDAPEST,HUNGARY
INTL,NATIONAL UNIV IRELAND-MAYNOOTH,MAYNOOTH,IRELAND
INTL,NATIONAL UNIVERSITY OF IRELAND,GALWAY,IRELAND
INTL,TRINITY COLL-DUBLIN,DUBLIN,IRELAND
INTL,UNIVERSITY COLLEGE CORK,CORK,IRELAND
INTL,UNIVERSITY COLLEGE DUBLIN,DUBLIN,IRELAND
INTL,BAR-ILAN UNIVERSITY,RAMAT GAN,ISRAEL
INTL,HEBREW UNIV OF JERUSALEM,JERUSALEM,ISRAEL
INTL,HEBREW UNIV ROTHBERG INTL SCH,JERUSALEM,ISRAEL
INTL,IDC HERZLIYA,HERZLIYA,ISRAEL
INTL,TECHNION INTERNATIONAL SCHOOL,HAIFA,ISRAEL
INTL,TEL AVIV UNIVERSITY,TEL AVIV,ISRAEL
INTL,UNIVERSITY OF HAIFA,HAIFA,ISRAEL
INTL,O P JINDAL GLOBAL UNIVERSITY,SONIPAT,INDIA
INTL,FLAME UNIVERSITY,PUNE,INDIA
INTL,MAHARISHI INST/MNGT,NEW DEHLI,INDIA
INTL,NMIMS UNIVERSITY,MUMBAI,INDIA
INTL,SHIV NADAR UNIVERSITY,GUATAM BUDDHA,INDIA
INTL,SRISHTI INST ART DESIGN TECH,BANGALORE,INDIA
INTL,AMERICAN UNIVERSITY OF ROME,ROME,ITALY
INTL,BOCCONI UNIVERSITY,MILANO,ITALY
INTL,JOHN CABOT UNIV,ROME,ITALY
INTL,DUKE KUNSHAN UNIVERSITY,KUNSHAN,CHINA
INTL,CHINESE UNIV OF HONG KONG,HONG KONG,HONG KONG
INTL,HONG KONG UNIV SCI TECH,HONG KONG,HONG KONG
INTL,U OF MI SHANGHAI JIAO TONG U,SHANGHAI,CHINA
INTL,UNIVERSITY OF HONG KONG,HONG KONG,HONG KONG
INTL,CHARLES UNIVERSITY PRAGUE,PRAGUE,CZECHIA
INTL,ANGLO-AMERICKA V S,PRAHA 1,CZECHIA
INTL,SCHILLER INTL UNIV-HEIDELBERG,HEIDELBERG,GERMANY
INTL,BARD COLLEGE BERLIN,BERLIN,GERMANY
INTL,COLOGNE INSTITUTE TECH,COLOGNE,GERMANY
INTL,IUBH INTL HOCHSCHULE GMBH,BAD HONNEF,GERMANY
INTL,JACOBS UNIVERSITY BREMEN,BREMEN,GERMANY
INTL,UNIVERSIDAD IBEROAMERICANA,SANTO DOMINGO,DOMINICAN REPUBLIC
INTL,THE AMERICAN UNIV IN CAIRO,NEW CAIRO,EGYPT
INTL,SAINT LOUIS UNIVERSITY-MADRID,MADRID,SPAIN
INTL,ESADE BUSINESS SCHOOL,SANT CUGAT VALLE,SPAIN
INTL,IE UNIVERSITY,SEGOVIA,SPAIN
INTL,LES ROCHES MARBELLA,MARBELLA MALAGA,SPAIN
INTL,SUFFOLK UNIV MADRID CAMPUS,MADRID,SPAIN
INTL,AMERICAN COLLEGE MEDITERRANEAN,AIX-EN-PROVENCE,FRANCE
INTL,AMERICAN UNIVERSITY OF PARIS,PARIS,FRANCE
INTL,UNIV OF READING,READING,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF ESSEX,COLCHESTER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,AMERICAN INTERCON UNIVERSITY,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,BRUNEL UNIVERSITY,UXBRIDGE,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
